LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka
SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
22233.1,3.691026469,21498.2,3.91259947,22233.1,-1.285003027,21498.2,-0.033570064,22233.1,0.520424081,21498.2,-0.20796407,22233.1,1.136524521,21498.2,1.270637077,22233.1,-0.272568435,21498.2,-0.122210703
22266.8,3.644424325,21502.55,3.936143952,22266.8,-1.810108608,21502.55,NaN,22266.8,0.715620036,21502.55,-0.186435424,22266.8,1.136244416,21502.55,1.242839539,22266.8,-0.289704318,21502.55,-0.143154562
22300.5,3.712693785,21506.9,3.946712914,22300.5,-1.665377928,21506.9,NaN,22300.5,0.504067085,21506.9,-0.117831061,22300.5,1.090494295,21506.9,1.225576343,22300.5,-0.410659925,21506.9,-0.164722382
22334.1,3.659886321,21511.25,4.011238807,22334.1,-3.329223882,21511.25,NaN,22334.1,0.673553487,21511.25,-0.189089749,22334.1,1.124333685,21511.25,1.19188569,22334.1,-0.354545018,21511.25,-0.147245068
22367.8,3.602438528,21515.6,3.969246374,22367.8,-3.148200867,21515.6,-0.416529622,22367.8,0.571093676,21515.6,-0.589341761,22367.8,1.125808032,21515.6,1.227849826,22367.8,-0.432338126,21515.6,-0.253283417
22401.5,3.653130608,21519.95,3.995071997,22401.5,-3.809436417,21519.95,-0.208798871,22401.5,0.695913434,21519.95,-0.48519889,22401.5,1.180275742,21519.95,1.2144016,22401.5,-0.420817817,21519.95,-0.195040538
22404.8,3.655705816,21524.3,3.918749748,22404.8,-1.057888098,21524.3,-0.24913612,22404.8,0.584793873,21524.3,-0.446570965,22404.8,1.158960486,21524.3,1.22750038,22404.8,-0.633817803,21524.3,-0.188332093
22408.2,3.673341002,21528.64,3.968549868,22408.2,-2.602689685,21528.64,NaN,22408.2,0.67310643,21528.64,-0.466140625,22408.2,1.129714815,21528.64,1.248201434,22408.2,-0.488156824,21528.64,-0.197247207
22411.5,3.701371329,21532.99,3.9555448,22411.5,-1.444002679,21532.99,NaN,22411.5,0.508954716,21532.99,-0.168722422,22411.5,1.158688261,21532.99,1.242257918,22411.5,-0.471874537,21532.99,-0.16984232
22414.9,3.641752905,21537.34,3.931840008,22414.9,-2.556673448,21537.34,NaN,22414.9,0.731195248,21537.34,-0.086459463,22414.9,1.109477841,21537.34,1.264392758,22414.9,-0.264860452,21537.34,-0.169264318
22418.3,3.607431087,21541.69,3.90941522,22418.3,-1.103766939,21541.69,-1.197712822,22418.3,0.710982048,21541.69,0.026238544,22418.3,1.105703619,21541.69,1.257734327,22418.3,-0.321672273,21541.69,-0.137933454
22421.6,3.5629726,21546.04,4.010836589,22421.6,-1.749199855,21546.04,NaN,22421.6,0.689517413,21546.04,-0.115176125,22421.6,1.137862898,21546.04,1.259094079,22421.6,-0.391076371,21546.04,-0.154539861
22425,3.656689451,21550.39,3.950687134,22425,-2.610069793,21550.39,-0.219419463,22425,0.641595855,21550.39,-0.123112183,22425,1.139090205,21550.39,1.281260658,22425,-0.314173688,21550.39,-0.192760206
22428.4,3.595001581,21554.73,4.075913335,22428.4,-1.895195056,21554.73,-0.643486916,22428.4,0.868944611,21554.73,-0.155332213,22428.4,1.15889913,21554.73,1.276539477,22428.4,-0.289610713,21554.73,-0.120765958
22431.7,3.656636975,21559.08,3.950286575,22431.7,-2.95689244,21559.08,NaN,22431.7,0.629268508,21559.08,-0.115833896,22431.7,1.126437532,21559.08,1.247253313,22431.7,-0.35244064,21559.08,-0.236020013
22435.1,3.541243455,21563.43,3.973109185,22435.1,-1.809777975,21563.43,-0.62794711,22435.1,0.947927817,21563.43,0.00000556,22435.1,1.190010234,21563.43,1.260493155,22435.1,-0.264151575,21563.43,-0.205809538
22438.5,3.620943059,21567.78,3.932939563,22438.5,-1.864784604,21567.78,-1.195376633,22438.5,0.622644115,21567.78,0.051824377,22438.5,1.125746982,21567.78,1.30635776,22438.5,-0.607701975,21567.78,-0.166987193
22441.8,3.653085122,21572.13,3.933212019,22441.8,-1.191632828,21572.13,-0.596642795,22441.8,0.797791107,21572.13,0.104782253,22441.8,1.12008139,21572.13,1.284640073,22441.8,-0.302112337,21572.13,-0.134362303
22445.2,3.65718051,21576.48,3.912960982,22445.2,-1.924248652,21576.48,NaN,22445.2,0.63813331,21576.48,0.131358353,22445.2,1.121948177,21576.48,1.25390237,22445.2,-0.324861076,21576.48,-0.149350671
22448.6,3.634683884,21580.83,3.926852265,22448.6,-2.400732154,21580.83,-0.686347288,22448.6,0.805564889,21580.83,0.072424763,22448.6,1.097109941,21580.83,1.265655615,22448.6,-0.213978877,21580.83,-0.223895148
22451.9,3.578106741,21585.17,3.893585112,22451.9,-1.996553882,21585.17,NaN,22451.9,0.734265427,21585.17,0.067773672,22451.9,1.117583133,21585.17,1.293866664,22451.9,-0.344404851,21585.17,-0.182019031
22455.3,3.628176508,21589.52,3.923368746,22455.3,-2.23120843,21589.52,-0.607379123,22455.3,0.644237678,21589.52,0.079508306,22455.3,1.163075217,21589.52,1.272922673,22455.3,-0.424742814,21589.52,-0.114113307
22458.7,3.605181663,21593.87,3.917562405,22458.7,-1.810108608,21593.87,-0.718429888,22458.7,0.895469404,21593.87,-0.253335861,22458.7,1.170756754,21593.87,1.275177034,22458.7,-0.1087332,21593.87,-0.254018594
22462,3.602658279,21598.22,4.006462565,22462,-1.002057554,21598.22,NaN,22462,0.819115801,21598.22,-0.108460498,22462,1.180649388,21598.22,1.273052233,22462,-0.209537899,21598.22,-0.145953913
22465.4,3.669967734,21602.57,3.992035984,22465.4,-1.921050112,21602.57,-0.38148458,22465.4,0.581921545,21602.57,-0.278872589,22465.4,1.147995661,21602.57,1.241035772,22465.4,-0.452312081,21602.57,-0.249696959
22468.8,3.620397927,21606.92,3.927802032,22468.8,-2.103095733,21606.92,-0.463969484,22468.8,0.73511138,21606.92,-0.252957311,22468.8,1.150403798,21606.92,1.249372914,22468.8,-0.239510529,21606.92,-0.195781831
22472.1,3.641411562,21611.27,3.93344275,22472.1,-2.703595851,21611.27,NaN,22472.1,0.540297737,21611.27,0.045011087,22472.1,1.142047833,21611.27,1.220043469,22472.1,-0.424620623,21611.27,-0.134716648
22475.5,3.581015131,21615.61,3.897612892,22475.5,-1.279048831,21615.61,NaN,22475.5,0.66200694,21615.61,-0.060878517,22475.5,1.108194578,21615.61,1.26131627,22475.5,-0.404286558,21615.61,-0.228071918
22478.9,3.663220617,21619.96,3.955885291,22478.9,-1.269355564,21619.96,NaN,22478.9,0.643850559,21619.96,-0.203416681,22478.9,1.118931178,21619.96,1.245821265,22478.9,-0.362114667,21619.96,-0.22929519
22482.2,3.592247237,21624.31,3.987836223,22482.2,-3.37709983,21624.31,NaN,22482.2,0.678404899,21624.31,-0.141976432,22482.2,1.150490945,21624.31,1.253465874,22482.2,-0.342833893,21624.31,-0.176857062
22485.6,3.614435496,21628.66,4.024927553,22485.6,-1.902369341,21628.66,-0.813840794,22485.6,0.726612337,21628.66,-0.296800806,22485.6,1.130159433,21628.66,1.239982582,22485.6,-0.272097341,21628.66,-0.154661666
