Age_SH20	Ln(Fe/Mn)
cal a BP	NA
3963.07	2.774585661
3968.04	2.875019049
3973	2.954509558
3977.97	2.808994199
3982.94	2.850436915
3987.9	2.962831795
3992.87	2.816482916
3997.83	2.585958534
4002.8	2.595170853
4007.76	2.529129794
4012.73	2.733655639
4017.69	2.797387837
4022.66	2.742854123
4027.62	2.890787818
4032.59	2.8056272
4037.55	2.696584472
4042.52	2.835865054
4047.48	2.775024777
4052.45	2.807497039
4057.41	2.886280577
4062.38	2.910914607
4067.34	2.797746143
4072.31	2.872184888
4077.27	2.684089408
4082.24	2.823361048
4087.21	2.696641565
4092.17	2.929935099
4097.14	2.929453108
4102.1	3.253130849
4107.07	3.070255188
4112.03	2.789100127
4117	3.008795922
4121.96	2.918573193
4126.93	2.950386172
4131.89	3.061471996
4136.86	2.953343148
4141.82	2.898901114
4146.79	3.087309713
4151.75	3.193589096
4156.72	2.971089002
4161.68	2.994215973
4166.65	2.891108949
4171.61	2.869318349
4176.58	2.773942819
4181.32	2.651743939
4186.06	2.643935388
4190.8	2.707663653
4195.54	2.877703739
4200.28	2.968325224
4205.02	2.856307154
4209.75	NaN
4214.49	NaN
4219.23	3.228826156
4228.71	2.793208009
4233.45	2.40356101
4238.19	2.921624301
4242.93	2.905850682
4247.67	3.080565058
4252.41	3.189397972
4257.15	3.011168082
4261.89	2.928103101
4266.62	2.824999746
4271.36	2.668862545
4276.1	2.85529602
4280.84	2.893029567
4285.58	2.840135284
4290.32	2.844158915
4295.06	2.849638008
4299.8	2.831937223
4304.54	2.941437664
4309.28	2.851537444
4314.02	2.775358551
4318.76	2.743881221
4323.49	2.866837733
4328.23	2.82559426
4332.97	2.885617929
4337.71	3.059418159
4342.45	3.10538124
4347.19	3.126874082
4351.93	3.305567151
4356.67	3.124737218
4361.41	3.158196189
4366.15	3.152364344
4370.89	3.236065633
4375.63	3.396571313
4380.36	3.361276001
4385.1	3.231873343
4389.84	3.283132139
4394.58	3.330474905
4399.32	3.517368813
4404.06	3.519261672
4408.8	3.297926474
4413.54	3.30684203
4416.28	3.250058752
4419.02	3.26369773
4421.75	3.12176895
4424.49	3.243589926
4427.23	3.24892946
4429.97	3.112795108
4432.71	3.207836858
4435.45	3.034790001
4438.18	2.899879619
4440.92	2.893777259
4443.66	2.879959927
4446.4	2.729983911
4449.14	2.709119965
4451.88	2.561504517
4454.62	2.625583195
4457.35	2.479398728
4460.09	2.648323675
4462.83	2.799148915
4465.57	2.603350842
4468.31	2.93857386
4471.05	2.929691521
4473.78	3.079613758
4476.52	3.019148765
4479.26	2.815826401
4482	2.665234297
4484.74	2.72341542
4487.48	2.680996019
4490.21	2.709508991
4492.95	2.72583204
4495.69	2.672906116
4498.43	2.76953252
4501.17	2.903756489
4503.91	2.752044802
4506.65	2.701509794
4509.38	2.722827213
4512.12	2.681904921
4514.86	2.674307544
4517.6	2.653020137
4520.34	2.642070893
4523.08	2.874487725
4525.81	2.728884288
4528.55	2.827283887
4531.29	2.894166364
4534.03	2.774005488
4536.77	2.729659012
4539.51	2.816281855
4542.24	2.908980603
4544.98	2.898323436
4547.72	2.963691751
4550.46	3.08713874
4552.24	3.165214557
4554.03	2.826985704
4555.81	2.770576465
4557.6	2.905059565
4559.38	2.967489061
4561.17	2.840583091
4562.95	3.043427147
4564.74	2.689319164
4566.52	2.523738594
4568.31	2.685634591
4570.09	2.631050324
4571.88	2.815424192
4573.66	2.793905481
4575.45	2.637925468
4577.23	2.61678861
4579.02	2.700092222
4580.8	2.744696824
4582.59	2.540687484
4584.37	2.637426451
4586.16	2.515642615
4587.94	2.660909838
4589.73	2.881286686
4591.51	2.61737004
4593.29	2.623364579
4595.08	2.67252734
4596.86	2.587331445
4598.65	2.687157124
4600.43	2.674704668
4602.22	2.710906404
4604	2.676501843
4605.79	2.691082668
4607.57	2.973976283
4609.36	2.73415802
4611.14	2.651502754
4612.93	2.616140986
4614.71	2.609850278
4616.5	2.576827745
4618.28	3.093644739
4620.07	2.993296219
4621.85	3.054844689
4623.64	3.045577151
4625.42	2.771714214
4627.21	3.121623166
4628.99	2.816311533
4630.78	2.694117107
4632.56	2.933567569
4634.34	3.049324835
4636.13	3.053351182
4637.91	3.286876931
4639.7	3.162650265
4641.38	3.212138897
4643.05	3.224696689
4644.73	2.840774817
4646.41	2.714610377
4648.08	2.699744506
4649.76	2.669236423
4651.44	2.727284324
4653.12	2.606158533
4654.79	2.91506437
4656.47	2.801615765
4658.15	2.78474642
4659.82	2.919183455
4661.5	2.819545705
4663.18	2.763829542
4664.85	2.775872797
4666.53	2.916114646
4668.21	2.786302398
4669.89	2.858891231
4671.56	2.819596531
4673.24	2.918880815
4674.92	2.692782729
4676.59	2.447857837
4678.27	2.55040967
4679.95	2.758248946
4681.62	2.996152353
4683.3	NaN
4684.98	NaN
4686.66	2.024381764
4688.33	NaN
4693.36	3.131409799
4695.04	2.842843424
4696.72	3.027546377
4698.4	2.944010989
4700.07	2.91132399
4701.75	3.049436453
4703.43	3.017476895
4705.1	2.745576728
4706.78	2.90009674
4708.46	2.96046652
4710.13	2.834443205
4711.81	2.912002017
4713.49	2.710957847
4715.17	2.699699422
4716.84	2.67052819
4718.52	2.719194766
4720.2	2.843970368
4721.87	2.972472785
4723.55	3.053497299
4725.74	3.230358206
4727.93	3.101397365
4730.11	3.140215381
4732.3	3.157480229
4734.49	3.146958397
4736.67	3.053633855
4738.86	3.248553019
4741.05	3.14045448
4743.24	2.904205971
4745.42	2.869910686
4747.61	2.821777678
4749.8	2.731124114
4751.99	2.774895174
4754.17	2.875667817
4756.36	3.179287637
4758.55	2.981079997
4760.74	3.08955325
4762.92	3.060410294
4765.11	2.856236793
4767.3	2.974995326
4769.49	2.870937613
4771.67	2.982504141
4773.86	2.876536951
4776.05	3.213061855
4778.24	2.755847809
4784.8	NaN
4786.98	3.219346302
4789.17	3.207592899
4791.36	3.093312602
4793.55	3.116642406
4795.73	2.998695239
4797.92	2.959197949
4800.11	3.073351117
4802.3	2.935987336
4804.48	3.256228736
4806.67	3.103352734
4808.86	2.955094628
4811.05	2.935227837
4813.23	2.981633349
4815.42	2.959181261
4817.61	2.888027091
4819.8	2.970537142
4821.98	3.012261576
4824.17	2.95485909
4826.36	3.049440297
4828.55	2.895065028
4830.73	3.019257207
4832.92	3.041842369
4834.93	3.003813567
4836.93	3.022412789
4838.94	3.049980967
4840.95	3.021948116
4842.95	2.907098272
4844.96	3.061630164
4846.96	2.986548015
4848.97	3.145580595
4850.98	3.060748622
4852.98	3.014421963
4854.99	3.039964178
4857	3.091890578
4859	3.172019618
4861.01	3.288296774
4863.01	3.062671756
4865.02	3.067644855
4867.03	3.114433851
4869.03	3.174299468
4871.04	3.090918928
4873.05	3.153321816
4875.05	3.201518853
4877.06	3.229976771
4879.06	3.108733251
4881.07	3.062740054
4883.08	3.14044256
4885.08	3.040587361
4887.09	3.039319672
4889.1	3.059396811
4891.1	3.055679117
4893.11	3.093627269
4895.11	3.042706731
4897.12	2.989285203
4899.13	3.203610971
4901.13	3.157763036
4903.14	3.051057285
4905.15	3.231504773
4907.15	3.046311027
4909.16	3.064276523
4911.16	3.097588558
4913.17	3.064103483
4915.18	2.994610568
4917.18	3.031260743
4919.19	2.970886275
4921.2	3.008394487
4923.2	2.944680934
4925.21	3.007947861
4927.21	3.01658257
4929.22	3.127004171
4931.23	2.724919962
4933.23	2.924476446
4935.32	2.72892579
4937.42	3.055958976
4939.51	2.935762832
4941.6	2.900384872
4943.69	2.840239369
4945.78	2.708204868
4947.87	2.768992737
4949.96	2.974365924
4952.05	2.888919133
4954.14	3.007259779
4956.23	2.980189218
4958.33	3.011671406
4960.42	3.018621025
4962.51	3.656946407
4964.6	2.531710716
4966.69	3.258096538
4968.78	3.64341708
4970.87	3.797360097
4972.96	3.340671961
4975.05	3.118473756
4977.15	2.927479747
4979.24	3.060763575
4981.33	2.834294571
4983.42	2.965138001
4985.51	2.952831595
