ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Wet density,Dry mass,Dry density,WMAR,DMAR,Aulacoseira ambigua,Aulacoseira granulata s.l.,Discostella stelligera s.l.,Cyclotella cf. meneghiniana,Cyclostephanos cf. patagonicus,Fragilaria restgroep,Staurosirella aff. pinnata,Staurosirella aff. lapponica,Staurosira aff. venter,Pseudostaurosira spp.,Fragilariod girdle view,Cymbella spp.,Pinnunavis spp.,Diploneis spp.,Pinnularia borealis,Mastogloia spp.,Unidentifiable,Sum planktonics,Sum benthics,Sum planktonics,SUM max>10%,Total diatom concentration,Ratio Chrysophyte cysts / Diatom frustules,Total Chrysophyte cysts concentration,Total dry diatom flux,Total dry Chrysophyte cyst flux,Total dry planktonic flux,Total dry benthic flux,PC1(25.66%),PC2(16.81%),PC3(12.57%),PC4(8.12%),PC5(7.42%)
Unit,,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,g cm-3,%,g cm-3,g cm-3,g cm-2 yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,valves/g,NA,valves/g,valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),NA,NA,NA,NA,NA
LP08_D41,LP08-1D,8,9,259.1,4641.25,5005.63,4816.75,4817.09,0.0981,1.09952875,17.90205821,0.196838277,0.107872477,0.019311394,0,20.83,64.21,0,11.05,0,0.35,0.23,0,0.23,0,0.23,0,0,0,0,0,96.09,1.04,75.26,97.12,193188162,0.14,13338653,3730733,257588,3584766,38638,-0.44,0.25,0.02,0.16,-0.11
LP08_D42,LP08-1C,88,89,260.5,4649.05,5029.45,4829.52,4831.36,0.0984,1.09643125,18.8196286,0.206344289,0.107859298,0.020298719,0,14.58,65.28,0,14.35,0.23,0.23,0,0.46,0,0,0.46,0,0,0,0,0,94.21,1.39,79.86,95.6,209782195,0.14,14568208,4258310,295716,4011880,59143,-0.42,0.24,0.05,0.09,-0.12
LP08_D43,LP08-1D,12,13,263.1,4673.81,5053.71,4856.8,4857.79,0.0984,1.089633333,20.72981291,0.225878951,0.107247375,0.02223218,0,12.21,63.25,0,20.72,0,0.65,0,0,0,0.22,0.22,0.22,0,0,0,0,96.18,1.31,83.97,97.49,240285624,0.03,4192552,5342073,93210,5138177,69907,-0.44,0.29,0.05,0.13,-0.2
LP08_D44,LP08-1D,16,17,267.1,4700.36,5105.5,4897.62,4898.43,0.0984,1.0889875,21.39890986,0.233031454,0.107138616,0.022926496,0,9.93,59.81,0,26.17,0,0.12,0,0.23,0.47,0,0.93,0.23,0,0,0,0,95.91,1.99,85.98,97.9,132343693,0.04,2473714,3034177,56714,2910116,60258,-0.44,0.29,0.12,0.15,-0.26
LP08_D45,LP08-1C,96,97,268.5,4708.48,5132.53,4910.17,4912.66,0.0978,1.090115,20.95133246,0.228393618,0.106636416,0.02234175,0,20.15,49.84,0,26.22,0,0.22,0,0.43,0,0,0.87,0,0,0,0,0.22,96.21,1.73,76.06,97.94,248155224,0.06,6990288,5544222,156175,5333986,96108,-0.51,0.29,0.08,0.35,-0.29
LP08_D46,LP08-1D,24,25,275.1,4763.7,5201.69,4979.09,4980.13,0.0977,1.1171875,20.39935279,0.22789902,0.109113661,0.022258481,0,12.51,62.78,0,20.71,0,0.22,0,0,0.22,0,0.43,0,0,0,0.22,0.22,96.01,1.29,83.5,97.3,224559391,0.08,9205239,4998351,204895,4798848,64704,-0.45,0.27,0.07,0.13,-0.2
LP08_D47,LP08-1D,32,33,283.1,4832.24,5284.5,5062.61,5062.04,0.0969,1.09618125,19.374272,0.212377137,0.106244851,0.020584166,0,9,73.58,0,13.67,0,0.46,0.11,0,0,1.59,0,0.23,0,0,0,0,96.24,2.39,87.24,98.63,272379475,0.12,16752268,5606704,344831,5395974,134101,-0.38,0.26,0.02,-0.03,-0.1
LP08_D48,LP08-1D,40,41,291.1,4896.62,5369.77,5146.16,5144.58,0.0925,1.10986875,17.25511323,0.19150911,0.10267056,0.017715921,0,36.04,42.28,0.22,6.13,0,1.53,0,0.44,0,1.1,0.66,0,0,0,0,0,84.67,3.72,48.63,88.39,248204198,0.24,29360409,4397166,520147,3722902,163750,-0.44,0.2,-0.04,0.42,-0.08
LP08_D49,LP08-1D,44,45,295.1,4948.29,5400.37,5192.9,5187.82,0.0925,1.1116875,19.40496294,0.215722547,0.102815029,0.019951218,7.63,30.41,45.56,0,5.43,0,2.93,0,0,0,1.04,0.42,0,0.21,0,0.21,0,89.03,4.81,50.99,93.83,165691985,0.24,20083877,3305757,400698,2943056,158897,-0.41,0.2,-0.06,0.4,-0.12
LP08_D50,LP08-1D,48,49,299.1,4979.31,5447.83,5241.07,5231.07,0.0929,1.11953125,17.75308761,0.198751364,0.104009407,0.018464881,20.15,30.12,28.54,0,3.78,0,4.83,0,0.21,0.63,3.15,0.21,0,0,0,0,0.21,82.58,9.23,32.32,91.82,190473387,0.2,19187246,3517068,354290,2904442,324766,-0.35,0.13,-0.14,0.59,-0.22
LP08_D51,LP08-1D,56,57,307.1,5112.57,5515.18,5323.15,5317.18,0.0975,1.10321875,16.77414959,0.185055563,0.107604852,0.018049799,53.33,11.72,21.51,0,3.01,0,4.09,0,0,0,3.66,0,0,0,0,0,0,89.57,7.74,24.52,97.31,359261115,0.06,10816464,6484591,195235,5808241,502033,-0.25,0.08,-0.18,0.7,-0.39
LP08_D52,LP08-1D,64,65,315.1,5244.15,5562.5,5394.37,5399.2,0.045,1.16200625,22.33686131,0.259555725,0.052347864,0.01169287,3.93,31.67,31.03,0,13.6,0.32,6.06,0.43,1.06,1.17,2.98,0.43,0,0,0,0.21,0,80.23,12.65,44.95,92.88,79224667,0.15,6061824,926364,70880,743257,117149,-0.39,0.19,-0.06,0.52,-0.24
LP08_D53,LP08-1D,73,74,324.1,5374.77,5886.16,5586.22,5598.98,0.0272,1.153595,30.3247793,0.349825138,0.031362604,0.009510641,12.93,10.27,34.22,0.76,0.76,2.28,9.13,0.76,8.37,1.52,5.32,2.28,0,0,0,0,3.04,58.94,32.7,38.02,91.63,1409973,2.69,1897834,13410,18050,7903,4385,0,-0.07,0,0.12,-0.03
LP08_D54,LP08-1D,81,82,332.1,5493.96,6464.88,5846.84,5893.24,0.0273,1.16221875,32.26155311,0.374949819,0.031679444,0.010220281,0,1.55,24.81,38.76,0,0,6.2,0,6.98,1.55,1.55,3.1,0,0,0,0,4.65,65.12,24.03,63.57,89.15,1500085,1.92,1441943,15331,14737,9983,3684,0.03,-0.29,0.18,-0.2,0.89
LP08_D55,LP08-1E,0,1,335.9,5576.47,6575.32,6013.06,6032.65,0.0272,1.35371875,47.0769404,0.637289369,0.036852598,0.017349075,5.2,9.5,33.94,3.17,3.17,3.17,17.19,0,11.76,0.68,5.88,0.45,0,0.9,0,0.45,0.9,54.98,41.4,43.44,96.38,3687535,0.17,317028,63975,5500,35172,26488,0.07,-0.03,-0.11,0.07,0.02
LP08_D56,LP08-1D,89,90,340.1,5651.35,6750.08,6178.53,6186.93,0.0259,1.30970625,39.61531905,0.51884431,0.033937155,0.013444312,0,20,0,0,0,0,0,0,40,0,0,0,0,0,40,0,0,20,80,0,100,18879,12,113275,254,1523,51,203,-0.04,-0.23,0.43,1.35,1.16
