ID,LabID,LongID,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,SiO2_n_Z_score,TiO2_n_Z_score,Al2O3_n_Z_score,FeO_n_Z_score,Mn_Z_scoreO_n_Z_score,MgO_n_Z_score,CaO_n_Z_score,Na2O_n_Z_score,K2O_n_Z_score,SiO2_n_sqrt_transformed_Z_scores,TiO2_n_sqrt_transformed_Z_scores,Al2O3_n_sqrt_transformed_Z_scores,FeO_n_sqrt_transformed_Z_scores,Mn_sqrt_transformed_Z_scoresO_n_sqrt_transformed_Z_scores,MgO_n_sqrt_transformed_Z_scores,CaO_n_sqrt_transformed_Z_scores,Na2O_n_sqrt_transformed_Z_scores,K2O_n_sqrt_transformed_Z_scores,PC1_Z_scores_sqrt_transformed,PC2_Z_scores_sqrt_transformed,PC3_Z_scores_sqrt_transformed,PC4_Z_scores_sqrt_transformed,PC_n_sqrt_transformed_Z_scores,Variance_explained_percent,Minimum,25%_Quartile,Median,Mean,75%_Quartile,Maximum
SAM-585,LL750-5,SAM-585_LL750-5_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,62.73,1.31,15.46,3.18,0.16,1.59,2.73,5.91,5.15,0.35,0,0,98.5718,63.64,1.33,15.69,3.23,0.17,1.61,2.77,6,5.22,0.35,0,0,100,-1.573562218,1.733434742,0.944355124,0.547147262,1.008608144,1.847226579,0.82280891,1.310820795,2.800162853,-1.590252322,1.578463996,0.952481866,0.691142621,1.060622491,1.684630525,0.887878233,1.261427302,2.41663075,3.594733063,2.055499143,-0.304817434,0.057534348,,,,,,,,
SAM-586,LL750-6,SAM-586_LL750-6_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,62.73,1.23,15.56,3.03,0.16,1.45,2.79,6.02,4.74,0.3,0,0,98.0076,64.01,1.25,15.88,3.09,0.16,1.48,2.84,6.14,4.84,0.31,0,0,100,-1.508692545,1.556719364,1.062526286,0.459918361,0.97517771,1.606722831,0.907939771,1.462941969,2.355912125,-1.521728993,1.463835011,1.064808335,0.612069613,1.037278025,1.528551709,0.962250639,1.393257489,2.089827131,3.514477434,1.70481841,-0.464090225,0.081237409,,,,,,,,
SAM-588,LL750-8,SAM-588_LL750-8_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,64.56,1.24,15.99,2.83,0.16,1.31,2.99,5.93,4.7,0.31,0,0,100.0074,64.56,1.24,15.98,2.83,0.16,1.31,2.99,5.93,4.7,0.31,0,0,100,-1.412120665,1.529466636,1.12648417,0.292726814,0.918016162,1.296951944,1.066523428,1.244214388,2.199126792,-1.420081853,1.445829497,1.125318029,0.45544398,0.996925597,1.316943406,1.098185498,1.203201674,1.971381156,3.316567436,1.53806767,-0.502817129,0.338114284,,,,,,,,
SAM-590,PY694-1,SAM-590_PY694-1_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,64.32,1.27,15.88,5.25,0.15,1.63,3.38,5.77,2.78,0.37,0,0,100.7956,63.81,1.26,15.75,5.2,0.15,1.61,3.36,5.73,2.76,0.36,0,0,100,-1.543029072,1.564252089,0.986341258,1.806604666,0.810774524,1.851227322,1.481061913,1.032019306,-0.022668656,-1.557974841,1.468795861,0.992470176,1.686164244,0.919659472,1.687172067,1.438979238,1.015588649,0.057260284,3.845583598,-0.218982372,0.218545869,-0.162667779,,,,,,,,
SAM-591,PY694-2,SAM-591_PY694-2_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,63.71,1.25,15.03,5.31,0.17,1.76,3.64,5.92,2.67,0.34,0,0,99.8106,63.83,1.25,15.06,5.32,0.17,1.77,3.65,5.94,2.67,0.34,0,0,100,-1.539890378,1.562437493,0.558231295,1.878393047,1.105218605,2.134398117,1.807815536,1.248581888,-0.123944281,-1.55465932,1.467601444,0.58054969,1.736576208,1.127072184,1.862892671,1.694523856,1.207029191,-0.044100285,3.984439023,-0.419744317,0.454592487,-0.357567073,,,,,,,,
SAM-592,PY694-3,SAM-592_PY694-3_Ha_Hudson,Acid,Rhyolite,SAM,Ha,0,Hudson,77.09,0.22,12.47,1.34,0.03,0.35,1.65,4.39,1.71,0.02,0,0,99.2664,77.66,0.22,12.56,1.35,0.03,0.35,1.66,4.42,1.73,0.02,0,0,100,0.896359664,-0.678505865,-0.967853926,-0.645037026,-0.696224751,-0.467621755,-0.418585162,-0.334628469,-1.207490053,0.892647548,-0.60694051,-0.971907426,-0.606635035,-0.581103651,-0.32294688,-0.343238257,-0.282257651,-1.256316863,-1.721087143,-1.172223902,0.262819314,-0.520053624,,,,,,,,
SAM-593,PY694-4,SAM-593_PY694-4_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,64.1,1.24,15.17,5.05,0.16,1.76,3.51,5.74,2.64,0.35,0,0,99.7284,64.28,1.24,15.21,5.06,0.16,1.77,3.52,5.76,2.65,0.35,0,0,100,-1.461472456,1.531119285,0.655329699,1.716565968,0.891654016,2.138174913,1.669116001,1.062010413,-0.149228845,-1.471973156,1.446923966,0.674801722,1.622157754,0.978124648,1.865183341,1.58734941,1.042304991,-0.069666421,3.801463343,-0.411349431,0.415712556,-0.28551749,,,,,,,,
SAM-594,PY694-5,SAM-594_PY694-5_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,63.52,1.22,15.87,5.03,0.16,1.69,3.53,5.82,2.7,0.36,0,0,99.9049,63.58,1.22,15.88,5.04,0.16,1.7,3.54,5.83,2.7,0.36,0,0,100,-1.584817449,1.4874101,1.063826056,1.699275899,0.941860626,2.005851746,1.682300203,1.134196891,-0.08691604,-1.602161637,1.417863657,1.06604001,1.60976473,1.013826328,1.784116439,1.597617246,1.106337488,-0.006849373,3.981465569,-0.346480197,0.182756714,-0.084659998,,,,,,,,
SAM-595,PY694-6,SAM-595_PY694-6_Ha_Hudson,Acid,Rhyolite,SAM,Ha,0,Hudson,76.53,0.21,12.07,1.28,0.04,0.3,1.52,4.64,1.6,0.03,0,0,98.211,77.92,0.21,12.29,1.31,0.04,0.31,1.54,4.72,1.62,0.03,0,0,100,0.943245682,-0.709134857,-1.132273987,-0.674283442,-0.566727403,-0.547647316,-0.545088763,-0.017934851,-1.325547056,0.937509205,-0.655467009,-1.148044174,-0.647483647,-0.392089991,-0.435841186,-0.489565223,0.033974375,-1.406782466,-1.775310205,-1.273573214,0.281650826,-0.792832338,,,,,,,,
SAM-596,PY694-7,SAM-596_PY694-7_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,65.16,1.11,15.48,4.41,0.16,1.19,2.6,5.81,3,0.27,0,0,99.1913,65.69,1.12,15.61,4.45,0.16,1.2,2.62,5.86,3.03,0.27,0,0,100,-1.212273053,1.261928256,0.896383142,1.324834697,0.885768029,1.093939091,0.655801536,1.17018744,0.284648703,-1.211092527,1.263992646,0.906685314,1.332671374,0.973910056,1.170779652,0.738942773,1.138120776,0.355285236,3.123231457,0.261572304,0.065658095,-0.332806948,,,,,,,,
SAM-597,PY694-8,SAM-597_PY694-8_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,64.51,1.21,15.56,4.86,0.16,1.7,3.45,5.99,2.84,0.33,0,0,100.6261,64.11,1.2,15.47,4.83,0.16,1.69,3.43,5.96,2.82,0.33,0,0,100,-1.490635536,1.451983666,0.809475123,1.570847023,0.875012876,1.995756164,1.56305957,1.271310888,0.048488447,-1.502690037,1.394134034,0.823424444,1.516644379,0.966192919,1.777861349,1.504120051,1.226926324,0.127509789,3.812308719,-0.219814639,0.173282815,-0.27668056,,,,,,,,
SAM-598,PY694-9,SAM-598_PY694-9_Ha_Hudson,Acid,Rhyolite,SAM,Ha,0,Hudson,76.15,0.22,12.44,1.35,0.04,0.25,1.62,4.59,1.58,0.04,0,0,98.2752,77.48,0.22,12.66,1.38,0.04,0.26,1.64,4.67,1.61,0.04,0,0,100,0.865594784,-0.680236141,-0.907341394,-0.630651342,-0.617828239,-0.633182433,-0.43323046,-0.07111575,-1.342505609,0.863169213,-0.609640383,-0.907557775,-0.586797053,-0.463692123,-0.565839275,-0.359917341,-0.018404256,-1.428784134,-1.667945907,-1.327106763,0.122659216,-0.597914141,,,,,,,,
SAM-599,PY694-10,SAM-599_PY694-10_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,64.52,1.2,15.4,4.54,0.15,1.41,3.02,5.84,2.86,0.35,0,0,99.2972,64.98,1.21,15.51,4.57,0.15,1.42,3.04,5.88,2.88,0.35,0,0,100,-1.337849067,1.467084259,0.836784572,1.404897931,0.855303961,1.496231715,1.131279248,1.191956962,0.114175608,-1.34220012,1.404268356,0.84962888,1.393391599,0.951996909,1.454531245,1.152762365,1.15730013,0.191676486,3.459854534,-0.035128292,0.127555287,-0.296798407,,,,,,,,
SAM-600,PY694-11,SAM-600_PY694-11_Ha_Hudson,Acid,Trachyte,SAM,Ha,0,Hudson,63.38,1.17,15.16,4.6,0.15,1.33,2.65,5.73,2.87,0.32,0,0,97.3657,65.09,1.21,15.57,4.73,0.15,1.36,2.72,5.88,2.95,0.33,0,0,100,-1.31758241,1.455445702,0.875417444,1.503050959,0.851076107,1.389913732,0.771450296,1.194746304,0.18872071,-1.320992252,1.396460056,0.886634249,1.466702958,0.948942424,1.38180885,0.842514632,1.159755135,0.263727482,3.365612041,0.157983655,0.139418619,-0.42231187,,,,,,,,
SAM-601,CA6-1,SAM-601_CA6-1_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.08,1.23,15.47,4.89,0.18,1.55,3.06,6.06,2.43,0.37,0,0,98.3363,64.15,1.25,15.74,4.98,0.18,1.57,3.11,6.17,2.47,0.38,0,0,100,-1.484391684,1.55823249,0.974679864,1.662176108,1.198334419,1.781880391,1.210587696,1.489620933,-0.355158069,-1.496110183,1.464832065,0.981372415,1.583059361,1.189763875,1.642872044,1.218901741,1.416216086,-0.281983003,3.877537433,-0.465510712,0.221924063,-0.466968012,,,,,,,,
SAM-602,CA6-2,SAM-602_CA6-2_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,64.39,1.2,15.78,4.89,0.18,1.53,3.15,5.97,2.67,0.38,0,0,100.1483,64.3,1.2,15.76,4.88,0.18,1.52,3.15,5.96,2.67,0.38,0,0,100,-1.458076631,1.446019305,0.989689345,1.599511016,1.175609361,1.690188557,1.248959883,1.278992397,-0.127062818,-1.468398974,1.390123174,0.995655197,1.537593848,1.174581979,1.583473433,1.25063187,1.233642556,-0.047247829,3.766597141,-0.261823541,0.232193178,-0.2688237,,,,,,,,
SAM-603,CA6-3,SAM-603_CA6-3_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,64.58,1.24,16.21,4.88,0.18,1.5,3.24,5.52,2.7,0.38,0,0,100.444,64.3,1.23,16.14,4.86,0.18,1.49,3.23,5.49,2.69,0.38,0,0,100,-1.457730307,1.514509102,1.221392061,1.58643879,1.22487381,1.634620962,1.337118118,0.787874298,-0.104351951,-1.46803449,1.435908539,1.214745599,1.528051878,1.207399964,1.54700186,1.322881681,0.795562259,-0.024362257,3.740931227,-0.229248469,0.367671309,0.130568647,,,,,,,,
SAM-604,CA6-4,SAM-604_CA6-4_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,64.11,1.2,15.7,4.9,0.17,1.47,2.96,5.89,2.65,0.36,0,0,99.4184,64.48,1.21,15.8,4.92,0.17,1.48,2.98,5.92,2.67,0.36,0,0,100,-1.425300781,1.459502857,1.01204891,1.628138793,1.093403913,1.613064265,1.060208052,1.235531651,-0.128806685,-1.43392915,1.399183963,1.016911603,1.558420574,1.119024537,1.532753848,1.092834616,1.195588434,-0.049008618,3.672730233,-0.200732555,0.228232792,-0.324524003,,,,,,,,
SAM-605,CA6-5,SAM-605_CA6-5_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.63,1.21,15.89,5.07,0.19,1.54,3.04,5.91,2.7,0.38,0,0,99.5604,63.91,1.22,15.96,5.1,0.19,1.55,3.06,5.93,2.72,0.38,0,0,100,-1.526825635,1.482396052,1.112379651,1.738052402,1.313717171,1.72957257,1.145082129,1.245382821,-0.074463408,-1.540863509,1.414514776,1.11199098,1.637512377,1.265722602,1.609104123,1.164328255,1.204225778,0.005628101,3.885902404,-0.155923399,0.280691067,-0.241136039,,,,,,,,
SAM-606,CA6-6,SAM-606_CA6-6_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,64.27,1.22,15.87,5.18,0.18,1.54,3.12,6.2,2.62,0.37,0,0,100.5649,63.91,1.22,15.78,5.15,0.18,1.53,3.1,6.16,2.61,0.37,0,0,100,-1.527061182,1.478649454,0.999266932,1.775085731,1.136872173,1.694476333,1.193232988,1.487206745,-0.195463028,-1.541112165,1.412010353,1.004763267,1.66385825,1.148528324,1.586272583,1.204493661,1.414140514,-0.116692192,3.884462839,-0.304665435,0.158186805,-0.4381814,,,,,,,,
SAM-607,CA6-7,SAM-607_CA6-7_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.76,1.23,16.13,5.1,0.2,1.45,3.11,5.77,2.68,0.36,0,0,99.7928,63.89,1.23,16.17,5.11,0.2,1.45,3.11,5.78,2.69,0.36,0,0,100,-1.52940735,1.519359694,1.238679024,1.745487415,1.502814345,1.551170152,1.209398318,1.085868816,-0.107550162,-1.543589055,1.439128842,1.23098801,1.642813734,1.386409144,1.491527957,1.217915453,1.063510724,-0.027579958,3.904537299,-0.184523865,0.341337179,-0.036616254,,,,,,,,
SAM-608,CA6-8,SAM-608_CA6-8_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,64.51,1.21,16.33,4.98,0.19,1.5,2.97,5.84,2.61,0.37,0,0,100.5173,64.17,1.21,16.24,4.96,0.19,1.49,2.96,5.81,2.6,0.37,0,0,100,-1.479738598,1.460006164,1.284187961,1.649855455,1.26768856,1.635542725,1.034458791,1.11977323,-0.2078419,-1.49120788,1.399521729,1.273679361,1.574156093,1.235642026,1.547609854,1.070965161,1.093573567,-0.129344575,3.788387688,-0.240530768,0.258301464,-0.150033376,,,,,,,,
SAM-609,CA6-9,SAM-609_CA6-9_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.75,1.2,15.89,4.97,0.18,1.52,3.04,6.01,2.75,0.37,0,0,99.6886,63.95,1.2,15.94,4.98,0.18,1.52,3.05,6.03,2.76,0.37,0,0,100,-1.518698857,1.453479945,1.099944577,1.66664078,1.224656276,1.682101453,1.13564016,1.348800877,-0.020641304,-1.532286015,1.395139521,1.100233368,1.586281391,1.207255815,1.578188156,1.156419047,1.294489957,0.059272645,3.851330694,-0.119967932,0.175471397,-0.2839623,,,,,,,,
SAM-610,CA6-10,SAM-610_CA6-10_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.16,1.23,16.08,5.28,0.2,1.56,3.25,6.11,2.47,0.4,0,0,99.7417,63.32,1.24,16.13,5.29,0.2,1.57,3.26,6.13,2.47,0.4,0,0,100,-1.629543614,1.525093536,1.213260754,1.861201785,1.422111599,1.770789894,1.373517102,1.447768133,-0.353692796,-1.649546227,1.442931784,1.207100704,1.724553056,1.335454173,1.635738141,1.352454686,1.380178333,-0.280445495,4.135441054,-0.480587526,0.222029557,-0.263386531,,,,,,,,
SAM-611,CA6-11,SAM-611_CA6-11_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.87,1.26,15.81,5.07,0.17,1.51,3,5.81,2.82,0.42,0,0,99.7268,64.04,1.26,15.85,5.09,0.17,1.51,3.01,5.83,2.83,0.42,0,0,100,-1.502782491,1.573665808,1.044982637,1.731043417,1.041696224,1.665203942,1.091278238,1.138571456,0.052151327,-1.515495872,1.474985869,1.04817574,1.632509223,1.083547738,1.567120114,1.119111072,1.110205678,0.131104938,3.766717318,-0.027508317,0.233578216,-0.260895438,,,,,,,,
SAM-612,CA6-12,SAM-612_CA6-12_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,65.33,1.13,15.9,4.94,0.18,1.31,2.77,5.92,2.83,0.32,0,0,100.6197,64.92,1.13,15.8,4.91,0.18,1.3,2.75,5.88,2.81,0.32,0,0,100,-1.347490614,1.283213674,1.012616427,1.621084791,1.210619918,1.28596579,0.802273732,1.189380264,0.031496013,-1.35229602,1.2788155,1.0174508,1.553297644,1.197940397,1.30919542,0.869785599,1.155031786,0.110804883,3.458929778,0.029221506,0.234749694,-0.296307218,,,,,,,,
SAM-613,CA6-13,SAM-613_CA6-13_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.98,1.2,16.06,5.02,0.19,1.53,3.1,5.95,2.65,0.38,0,0,100.0902,63.92,1.2,16.05,5.02,0.19,1.53,3.1,5.94,2.65,0.38,0,0,100,-1.52440968,1.451443988,1.167111856,1.688380794,1.363451991,1.706300422,1.196261093,1.257039625,-0.148186346,-1.53831324,1.393771304,1.163652611,1.60193826,1.297906744,1.593980524,1.207010224,1.214437409,-0.068610214,3.898550512,-0.241983865,0.263017189,-0.191951429,,,,,,,,
SAM-614,CA6-14,SAM-614_CA6-14_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.98,1.24,16.36,5.1,0.19,1.46,3.21,5.65,2.58,0.37,0,0,100.1248,63.9,1.24,16.34,5.09,0.19,1.46,3.2,5.64,2.57,0.37,0,0,100,-1.528407982,1.537162401,1.343183694,1.73394236,1.28852679,1.564901691,1.311545855,0.939401335,-0.237827184,-1.542533974,1.450923177,1.328877257,1.634579203,1.249295857,1.500715211,1.302015757,0.932658342,-0.160101786,3.879402589,-0.334422354,0.298491463,0.068198953,,,,,,,,
SAM-615,CA6-15,SAM-615_CA6-15_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.68,1.23,15.79,5.03,0.18,1.54,3.21,5.73,2.71,0.37,0,0,99.4681,64.02,1.23,15.87,5.06,0.18,1.55,3.23,5.77,2.73,0.37,0,0,100,-1.506984992,1.519162111,1.058886916,1.714504211,1.142433285,1.729622139,1.34003858,1.070711781,-0.063164793,-1.519927931,1.438997724,1.061359195,1.620681695,1.152282281,1.60913627,1.325259949,1.050043771,0.016927674,3.832735923,-0.207066352,0.293292018,-0.123308093,,,,,,,,
SAM-616,CA6-16,SAM-616_CA6-16_H-1991CE_Hudson,Acid,Trachyte,SAM,H1991,0,Hudson,63.23,1.23,15.78,5.23,0.2,1.53,3.22,5.92,2.66,0.4,0,0,99.3937,63.62,1.23,15.88,5.26,0.2,1.54,3.24,5.96,2.68,0.4,0,0,100,-1.577954122,1.517234672,1.063571059,1.842250384,1.402697064,1.716787709,1.351179985,1.270910475,-0.120091048,-1.594898744,1.437718401,1.065798378,1.711263287,1.323075625,1.600803484,1.334324095,1.226576114,-0.040213421,4.001293407,-0.252790129,0.314838334,-0.203139148,,,,,,,,
SAM-618,PZ1_A1-93_03_2,SAM-618_PZ1_A1-93_03_2_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,74.93,0.18,12.57,1.02,0.03,0.14,1.09,3.67,3.99,0.04,0,0.2,97.856,76.57,0.18,12.84,1.05,0.03,0.14,1.12,3.75,4.08,0.04,0,0.2,100,0.704794106,-0.773677104,-0.793884041,-0.84078843,-0.696705748,-0.850985766,-1.023101672,-1.031546641,1.483347125,0.7085497,-0.763380297,-0.787579955,-0.895151984,-0.581856422,-0.963735325,-1.097934868,-1.01882625,1.40731809,-2.306213575,1.587915952,-0.007730944,0.316369144,,,,,,,,
SAM-619,PZ1_A1-93_03_3,SAM-619_PZ1_A1-93_03_3_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.39,0.09,12.29,0.84,0.07,0.16,0.92,3.73,3.98,0.02,0,0.14,97.6135,77.23,0.1,12.59,0.86,0.07,0.16,0.94,3.82,4.08,0.02,0,0.14,100,0.82159828,-0.953970381,-0.94879078,-0.959713529,-0.19659392,-0.814431644,-1.222874636,-0.964876377,1.484969686,0.820954818,-1.124815432,-0.951608232,-1.091710903,0.049355899,-0.887579103,-1.386596091,-0.945668962,1.408643866,-2.467367443,1.688587069,0.387506065,0.290243193,,,,,,,,
SAM-620,PZ1_A1-93_03_5,SAM-620_PZ1_A1-93_03_5_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.24,0.12,12.28,0.95,0.05,0.18,0.92,3.49,4.03,0,0,0.18,97.4456,77.21,0.13,12.6,0.97,0.05,0.19,0.95,3.58,4.13,0,0,0.19,100,0.818048953,-0.891147974,-0.941481583,-0.886653138,-0.494180078,-0.766646421,-1.210854155,-1.210565554,1.547705586,0.817546286,-0.985763768,-0.943831772,-0.968693198,-0.29593438,-0.794858067,-1.368488001,-1.21840042,1.459729274,-2.512250842,1.744289466,0.38444916,0.312488745,,,,,,,,
SAM-621,PZ1_A1-93_03_6,SAM-621_PZ1_A1-93_03_6_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,73.3,0.15,11.93,1.05,0.08,0.17,0.96,3.5,3.86,0.02,0,0.19,95.2119,76.99,0.16,12.53,1.1,0.08,0.18,1.01,3.67,4.06,0.03,0,0.2,100,0.779013434,-0.823998641,-0.986892685,-0.80546152,-0.060592992,-0.783508107,-1.144502621,-1.114896236,1.461258944,0.78002987,-0.853865132,-0.992205797,-0.840220645,0.188190637,-0.826787007,-1.270328738,-1.111166444,1.389247127,-2.218259284,1.680437196,0.65706216,0.33119875,,,,,,,,
SAM-622,PZ1_A1-93_03_7,SAM-622_PZ1_A1-93_03_7_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.94,0.14,12.5,0.96,0,0.15,1.02,2.91,3.92,0,0,0.17,97.7048,77.72,0.14,12.79,0.98,0,0.15,1.04,2.98,4.02,0,0,0.17,100,0.908280765,-0.854053117,-0.825805892,-0.879761843,-1.116139916,-0.829922973,-1.106432169,-1.843369723,1.414568055,0.904061217,-0.911124372,-0.821248321,-0.957473693,-1.895081243,-0.919238648,-1.215309784,-1.965248002,1.350906137,-3.198341358,1.550955551,-0.232519253,0.493545286,,,,,,,,
SAM-623,PZ1_A1-93_03_8,SAM-623_PZ1_A1-93_03_8_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.12,0.13,12.04,1.04,0,0.14,1.01,3.51,4,0.03,0,0.19,97.199,77.28,0.14,12.39,1.07,0,0.14,1.04,3.61,4.11,0.03,0,0.19,100,0.829835084,-0.868761073,-1.075124329,-0.825615737,-1.116139916,-0.846416139,-1.110145666,-1.182159133,1.526114593,0.82886317,-0.94015511,-1.086605672,-0.87138494,-1.895081243,-0.953931134,-1.220636542,-1.186418512,1.442186291,-3.005568752,1.583601054,-0.545167518,-0.062702571,,,,,,,,
SAM-624,PZ1_A1-93_03_9,SAM-624_PZ1_A1-93_03_9_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.74,0.11,12.2,0.75,0.03,0.16,0.99,3.37,4.03,0,0,0.19,97.5829,77.62,0.11,12.51,0.77,0.03,0.16,1.02,3.45,4.13,0,0,0.2,100,0.889958916,-0.926728241,-1.001109196,-1.016490646,-0.728289541,-0.808508517,-1.134082087,-1.343322741,1.549734741,0.886517203,-1.062277397,-1.007379322,-1.193112192,-0.632267535,-0.87569557,-1.255177965,-1.369503384,1.461375933,-2.81849526,1.666486971,0.202262774,0.430435331,,,,,,,,
SAM-625,PZ1_A1-93_03_10,SAM-625_PZ1_A1-93_03_10_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,73.71,0.17,12.02,1.02,0,0.16,0.84,3.27,4.21,0.08,0,0.15,95.6387,77.08,0.18,12.57,1.06,0,0.17,0.88,3.42,4.4,0.08,0,0.16,100,0.793810164,-0.769380975,-0.964935233,-0.829821014,-1.116139916,-0.802996806,-1.285511525,-1.375805364,1.85392081,0.794257115,-0.755932666,-0.968797856,-0.877945464,-1.895081243,-0.864742582,-1.482680376,-1.406896116,1.704355889,-2.988311134,1.954730776,-0.442061018,-0.016867016,,,,,,,,
SAM-626,PZ1_A1-93_03_11,SAM-626_PZ1_A1-93_03_11_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,74.73,0.13,12.66,1.09,0,0.17,0.94,3.61,4.15,0.05,0,0.16,97.7053,76.49,0.13,12.96,1.11,0,0.18,0.97,3.7,4.25,0.05,0,0.16,100,0.689948274,-0.873187567,-0.723277491,-0.796501606,-1.116139916,-0.782019145,-1.191243044,-1.091037857,1.686546452,0.694228198,-0.949032667,-0.713352417,-0.826510041,-1.895081243,-0.82393464,-1.339163886,-1.084632961,1.57159643,-2.759408211,1.757842988,-0.725834157,-0.017258757,,,,,,,,
SAM-627,PZ1_A1-93_03_13,SAM-627_PZ1_A1-93_03_13_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.62,0.18,12.34,0.91,0,0.13,1.05,3.09,4.1,0,0,0.19,97.6005,77.47,0.18,12.64,0.93,0,0.13,1.07,3.17,4.21,0,0,0.19,100,0.864091534,-0.765748944,-0.917236903,-0.913985816,-1.116139916,-0.870436051,-1.073450894,-1.642902481,1.632600175,0.861727976,-0.749667792,-0.918063525,-1.013819413,-1.895081243,-1.006475508,-1.168367862,-1.721044512,1.528322454,-3.105384768,1.681436366,-0.381110198,0.369849372,,,,,,,,
SAM-628,PZ1_A1-93_03_14,SAM-628_PZ1_A1-93_03_14_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,73.78,0.15,12,0.79,0.07,0.15,0.96,3.42,3.91,0.05,0,0.23,95.4912,77.27,0.15,12.56,0.82,0.07,0.15,1,3.58,4.09,0.05,0,0.24,100,0.827377079,-0.830914067,-0.965297873,-0.981232229,-0.177495937,-0.825976534,-1.148385802,-1.209256621,1.50034957,0.826503431,-0.86680914,-0.969184179,-1.129492379,0.069444069,-0.911091322,-1.275992527,-1.21692407,1.421199179,-2.442629612,1.688304685,0.541665145,0.465950451,,,,,,,,
SAM-629,PZ1_A1-93_03_15,SAM-629_PZ1_A1-93_03_15_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,75.46,0.11,12.22,0.91,0.05,0.19,0.88,3.44,4.13,0.04,0,0.16,97.5794,77.33,0.11,12.52,0.94,0.05,0.19,0.9,3.52,4.24,0.04,0,0.16,100,0.839177231,-0.916249876,-0.99374977,-0.910661224,-0.474067268,-0.755075639,-1.265595455,-1.273931261,1.667818515,0.837829894,-1.03918308,-0.999522723,-1.008275668,-0.270283661,-0.773402224,-1.451806887,-1.290182313,1.556600749,-2.602648138,1.863537726,0.452255704,0.322177309,,,,,,,,
SAM-630,PZ1_A1-93_03_16,SAM-630_PZ1_A1-93_03_16_A1_Aguilera,Acid,Rhyolite,SAM,A1,0,Aguilera,74.77,0.12,12.32,0.98,0.04,0.17,1.07,3.15,3.97,0,0,0.23,96.8189,77.22,0.13,12.72,1.01,0.04,0.18,1.11,3.25,4.1,0,0,0.24,100,0.820104331,-0.892519476,-0.869577551,-0.862524058,-0.603729663,-0.778087135,-1.031206141,-1.557173675,1.513959745,0.819520185,-0.988617511,-0.867526643,-0.929676713,-0.443584435,-0.816433357,-1.109174944,-1.618876115,1.432292626,-2.569189555,1.642190383,0.446587579,0.66033706,,,,,,,,
