ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Misodendrum,Poaceae,Empetrum_rubrum,Asteraceae_Subf._Asteroideae,Gunnera,Acaena,Plantago,Litorella,Galium_type,Polypodiaceae,Trees_&_Shrubs,Dwarf_Shrubs,Cyperaceae,Aquatics_&_Spores,Algae,Tephra_concentration,Charcoal_concentration,TLP_concentration,Pediastrum_concentration
Unit,cm,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3
LP08_P44,LP08-1D,27,28,278.1,4795.66,5249.41,5018.93,5017.92,0.095408468,66.7,1.6,0,3.9,21.7,1,2.9,0,0.3,0,0,0.3,5.2,72.8,27.2,21,5.2,28.6,1186.6,4746.2,366645.7,147132.9
LP08_P45,LP08-1D,35,36,286.1,4872.7,5332.41,5098.91,5101.77,0.096373931,89.6,0.3,0.3,1.2,5.4,0.3,0.9,0.9,0.3,0,0.6,0.3,1.2,91.3,8.7,6.9,1.8,12.1,2464.4,0,275189.6,37787.2
LP08_P46,LP08-1D,43,44,294.1,4955.94,5424.47,5180.64,5184.78,0.097370983,84.8,0.6,0,1.1,10,0.3,1.1,0.3,0.3,0,0.9,0,2.8,86.5,13.5,9.4,3.1,23.3,762.8,1525.6,266212.2,80855.3
LP08_P47,LP08-1D,48,49,299.1,5004.03,5477.7,5237.23,5236.13,0.097213221,88.3,0,0,2.1,8.1,0,0.9,0,0,0,0,0,1.2,90.4,9.6,2.1,1.8,14.1,4449.6,889.9,297232.2,48945.4
LP08_P48,LP08-1D,51,52,302.1,5037.85,5498.89,5268.08,5266.99,0.097122739,84.7,0.6,0.3,1.7,9.2,0.6,1.2,0.3,0.6,0,0.3,0,2.2,87.3,12.7,6,2.8,21.2,2135.8,0,369493.4,99314.7
LP08_P49,LP08-1D,59,60,310.1,5124.68,5556.55,5351.25,5349.36,0.097335442,81.2,0.3,0,1,14.6,0.3,1.6,0,0,0,0,0,3.7,82.8,17.2,16.1,5.5,27.9,562.1,562.1,173112.2,66884.3
LP08_P50,LP08-1D,67,68,318.1,5287.38,5602.58,5419.57,5431.55,0.031206116,60.4,0.6,0,1.8,27.7,0.9,3,0,3.9,0,0.3,0.3,2.3,63.1,36.9,8.9,2.3,20.6,6328.3,2768.6,132894.2,34410.1
LP08_P51,LP08-1D,75,76,326.1,5408.97,6083.17,5661.83,5687.91,0.025959192,68.1,1.2,0.6,4.3,17.6,0.3,2.8,0,1.9,0,0,0.9,0,74.6,25.4,17.8,0.9,69.2,2427,1456.2,156787.1,352407
LP08_P52,LP08-1D,80,81,331.1,5493.97,6484.8,5834.11,5880.52,0.026704647,54.4,1.2,0.9,2.4,27.5,0.6,3.1,0,5.2,0,2.4,0.3,2.7,59.9,40.1,13.3,2.7,37.4,53395,3203.7,116401.1,69413.5
LP08_P53,LP08-1D,83,84,334.1,5579.77,6572.36,5960.14,5992.86,0.027070926,55.9,1.6,1.3,1.3,27.6,1,4.3,0,2,0,2.3,0.7,3.5,60.2,39.8,11.1,3.8,25.5,81694.4,534,162320.8,55530.8
LP08_P54,LP08-1D,91,92,342.1,5740.26,6852.15,6285.59,6288.38,0.02815655,47.7,0.6,2.8,0.3,32.7,2.8,3.7,0,3.7,0,2.8,1.2,3.5,51.4,48.6,15.1,4.4,49.8,3559.7,273.8,89539.3,88991.7
LP08_P55,LP08-1D,98,99,349.1,5913.28,6988.05,6567.43,6536.99,0.027760642,45.2,0.6,0,0.3,34.5,1.2,5.8,0.3,3.3,0,5.8,1.2,6.6,46.7,53.3,14.9,8.6,32.4,1302.3,3907,85952.9,41153.2
LP08_P56,LP08-1E,15,16,350.9,6017.34,7027.26,6629.17,6601.83,0.027372887,52.4,2.9,1,0.3,33.7,1.3,3.8,0,2.9,0,0,0.3,4.7,56.8,43.2,20.9,6.5,36.2,1884.5,837.6,65958.5,37481.2
LP08_P57,LP08-1E,23,24,358.9,6557.59,7153.97,6909.92,6894.09,0.035007877,34.8,0,0.3,0.6,43.5,1.8,6.6,0.9,4.8,0.6,2.4,0.6,7.9,36,64,30.5,8.8,45.4,3386,5730.2,86734.3,72148.4
