depth,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Br,Rb,Sr,Zr,Ba,Mo inc,Mo coh
126.6,0.501395604,0.155821072,0.065518309,1.184100698,1.070228883,1.141648595,0.370911838,1.125973001,7.959058864,0.371988419,0.273538931,0.075337534,0.88827831,1.123775032,0.927265962,0.315554757,4.408064848,2.373667886
126.7,0.536263065,0.043399157,0.035012423,1.24647266,1.112583352,1.225302625,0.386754138,1.171841055,8.246027622,0.356305984,0.299924878,0,0.857107432,1.079987106,0.805968854,0.336202067,3.984478112,2.155807892
126.8,0.4888411,0.050003388,0.102867835,1.169661469,1.080994987,1.193544024,0.372211213,1.126843592,8.172290093,0.401692214,0.366388438,0.087986358,0.814229253,1.109764921,0.866644615,0.341328603,4.118173653,2.213283302
126.9,0.533840255,0.077500803,0.072317387,1.125891196,1.105994596,1.244489888,0.376573601,1.10287267,8.122024087,0.40629111,0.381678727,0.221410896,0.766950546,1.19978621,0.898591979,0.387272451,4.18320255,2.250634318
127,0.537927475,0.035211268,0.040470024,1.19988677,1.126942944,1.256454954,0.344334125,1.120412844,8.111722172,0.402666313,0.323361648,0.146412232,0.83022322,1.155623026,0.896453752,0.28177693,4.169734267,2.267830546
127.1,0.536230179,0.072225565,0,1.224084146,1.082380819,1.185913994,0.393869205,1.160433288,8.146831144,0.358480955,0.33023568,0.054422644,0.823437084,1.104600601,0.774359411,0.323354275,4.182367286,2.251517752
127.2,0.487377082,0.08555775,0.023017901,1.216218874,1.004991843,1.072823462,0.377909485,1.199145442,8.190616148,0.390741813,0.385467473,0,0.840293837,1.002056576,0.809853276,0.342359378,4.147825807,2.214598035
127.3,0.457697078,0.131868493,0.04531834,1.231405631,1.024164956,1.098590083,0.358930972,1.16421797,8.230954156,0.386787133,0.368346659,0.062023729,0.849662279,0.992858201,0.781851731,0.311094518,4.106928556,2.176789566
127.4,0.531981948,0.045379173,0.022300439,1.257255337,1.077912566,1.161714135,0.365590025,1.186129812,8.274735584,0.366673186,0.352179374,0.128835728,0.806343368,1.019647446,0.79581475,0.322870708,3.990413188,2.126262216
127.5,0.560224504,0.138564094,0.077587879,1.22479666,1.098175971,1.204976452,0.404398834,1.152455573,8.192793933,0.390429962,0.34854374,0.05494023,0.861493076,1.119280767,0.820238336,0.348414407,4.076419398,2.21407036
127.6,0.550298578,0.073810983,0.067446719,1.198889115,1.118756964,1.227450405,0.391602225,1.15277546,8.143085632,0.350078088,0.329779752,0.120822828,0.852242163,1.065766433,0.809894063,0.320735377,4.165926618,2.250541359
127.7,0.518533251,0.074341939,0.102332144,1.184362823,1.080227634,1.152558202,0.402119367,1.159042657,8.13360833,0.379730889,0.415326609,0.076693863,0.87705119,1.036142899,0.822406404,0.370116136,4.210007135,2.228009939
127.8,0.521320233,0.059439697,0.060735515,1.241392374,1.044116129,1.138575506,0.40535252,1.184632206,8.226575468,0.3816388,0.322731928,0.026358971,0.85983918,1.005113871,0.829525447,0.336361757,4.07590386,2.162944665
127.9,0.496381028,0.021027185,0.029651798,1.211774999,1.038667801,1.104162739,0.383011935,1.181952178,8.236181995,0.337852418,0.366946905,0.026358971,0.849669875,0.98594844,0.842916654,0.355841282,4.069792783,2.186063985
128,0.473320866,0.085794987,0.141019586,1.217911303,1.038330271,1.102795231,0.383671489,1.184593204,8.272509472,0.398612322,0.289491109,0.166454433,0.845899895,0.967185086,0.786481148,0.367354149,4.046923102,2.156503107
128.1,0.515369501,0.059388648,0.056309093,1.211853103,1.067458651,1.167275035,0.382749268,1.121866728,8.184282742,0.372724369,0.370589308,0.131230165,0.905253986,1.045166855,0.849099664,0.333647335,4.135367865,2.207204538
128.2,0.528206192,0.018078105,0.047467146,1.228698955,1.101135991,1.16264454,0.41639311,1.133122343,8.198229129,0.3743289,0.336512745,0.080760471,0.846930781,1.032477447,0.770986145,0.288119126,4.10208367,2.210098828
128.3,0.539530702,0.083637078,0.045697175,1.201952922,1.127358813,1.18419281,0.384675397,1.125832667,8.194403943,0.433021065,0.326083475,0.115791865,0.840290976,1.075911383,0.79096889,0.3386651,4.084097403,2.224518083
128.4,0.551463712,0.057165333,0.072967293,1.217888867,1.135871091,1.203196176,0.377518164,1.148332955,8.226442819,0.382026368,0.29922622,0.242166026,0.863339663,1.134568897,0.88503789,0.326920064,3.995096657,2.19092938
128.5,0.518317624,0,0.023613411,1.234184323,1.071415318,1.137785066,0.368677494,1.18348988,8.261493781,0.362474997,0.269697377,0.143971584,0.928627691,0.993508945,0.81889074,0.374782818,4.021312912,2.155728133
128.6,0.520940117,0,0.085222042,1.217122473,1.065930705,1.169494037,0.384343392,1.168710745,8.24867428,0.392415176,0.419779205,0.034309491,0.8781914,1.010934544,0.800911991,0.33586392,4.015498918,2.171798116
128.7,0.558824932,0.035920875,0.087696758,1.232003889,1.082256412,1.169680501,0.405591972,1.159494638,8.236811993,0.428043887,0.379272658,0,0.849373271,1.08445484,0.819264931,0.387922344,4.009610363,2.15936846
128.8,0.535930892,0.016366283,0.050029402,1.209971604,1.066421296,1.173935511,0.378025728,1.171439915,8.231957514,0.440609262,0.239155635,0,0.840309213,1.106297524,0.816766054,0.336914254,4.049912521,2.171654545
128.9,0.556358937,0.098464572,0.082584631,1.218203546,1.118296965,1.214659191,0.379751393,1.159885101,8.214899896,0.35274392,0.251528273,0,0.838663857,1.085424823,0.800258756,0.321309085,4.061368462,2.184304596
129,0.559983237,0.132726253,0.06415003,1.25130395,1.099360929,1.167835825,0.353239569,1.140900195,8.208721814,0.361357618,0.317122197,0,0.868676276,1.082746389,0.787821357,0.343499786,4.08143813,2.187942823
129.1,0.552929167,0.055166689,0.035585431,1.24960325,1.048359029,1.118011161,0.388963273,1.174556905,8.211321267,0.43090005,0.339644768,0,0.88144286,1.070851802,0.819632251,0.339754762,4.075181154,2.198001699
129.2,0.511412715,0.060838346,5.75E-27,1.244403833,1.051365909,1.137743368,0.378742888,1.177495686,8.224708993,0.35962009,0.376303252,0.076038556,0.841718471,1.003032593,0.845571418,0.317537708,4.07281039,2.193314038
129.3,0.51215833,0.037882569,0.097846115,1.20979201,1.044147733,1.12728452,0.354703336,1.153976901,8.25418521,0.322111485,0.320802851,0.242751868,0.834804606,1.023997278,0.790850585,0.321533793,4.068410945,2.191123507
129.4,0.52006148,0.108120182,0.094004004,1.219687711,1.053802082,1.144847263,0.399945065,1.187176182,8.217659157,0.39195564,0.323569115,0.145629536,0.907484843,1.043552737,0.761522774,0.299326744,4.071281197,2.19478023
129.5,0.518216389,0.029255201,0.070870545,1.223324083,1.072721009,1.132998214,0.366619391,1.155919677,8.198654129,0.398682156,0.303096396,0.088937384,0.901802648,1.017810492,0.845497212,0.326629811,4.109991714,2.213771508
129.6,0.506683028,0.029255201,0.022949668,1.194776404,1.063431775,1.134906865,0.383949692,1.156683014,8.19587386,0.416948202,0.360586032,0.088542251,0.9124787,1.050063624,0.860176121,0.322730892,4.10130862,2.178449588
129.7,0.52333696,0.032405932,0.021434509,1.25967294,1.04024376,1.147277615,0.380741782,1.140206478,8.231460777,0.377550247,0.320270652,0.14876511,0.873888203,1.036739566,0.812652306,0.353930398,4.066136305,2.169311372
129.8,0.547457571,0.078294634,0.021434509,1.259497346,1.035718503,1.157636659,0.424341985,1.112647319,8.216709176,0.382652125,0.29373754,0.030909997,0.889199769,1.004183242,0.815066649,0.334351714,4.088082442,2.182889387
