LP08_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
cm,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,-,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP
159,2786.35,3188.82,2969.73,2974.25,201.235,6B,2790,3190,2970,2970,180,220,200
160,2796.44,3198.17,2983.4,2986.96,200.865,6B,2800,3200,2980,2990,190,210,200
161,2833.53,3213.44,3002.01,3007.36,189.955,6B,2830,3210,3000,3010,180,200,190
162,2865.37,3231.95,3022.79,3027.76,183.29,6B,2870,3230,3020,3030,160,200,180
163,2882.21,3254.55,3043.97,3048.15,186.17,6B,2880,3250,3040,3050,170,200,190
164,2893.45,3283.04,3064.36,3068.55,194.795,6B,2890,3280,3060,3070,180,210,200
165,2902.58,3321.76,3084.51,3088.95,209.59,6B,2900,3320,3080,3090,190,230,210
166,2908.94,3364.24,3103.97,3109.34,227.65,6B,2910,3360,3100,3110,200,250,230
167,2915.37,3398.56,3123.24,3129.74,241.595,6B,2920,3400,3120,3130,210,270,240
168,2921.87,3444.15,3139.53,3150.14,261.14,6B,2920,3440,3140,3150,230,290,260
169,2928.73,3499.37,3156.47,3170.54,285.32,6B,2930,3500,3160,3170,240,330,290
170,2935.03,3545.86,3175.34,3190.93,305.415,6B,2940,3550,3180,3190,250,360,310
171,2960.26,3567.75,3198.51,3214.41,303.745,6B,2960,3570,3200,3210,250,360,310
172,2978.01,3586.21,3223.62,3237.9,304.1,6B,2980,3590,3220,3240,260,350,310
173,2991.84,3614.34,3248.44,3261.38,311.25,6B,2990,3610,3250,3260,270,350,310
174,3002.74,3632.9,3271.07,3284.86,315.08,6B,3000,3630,3270,3280,280,350,320
175,3015.06,3669.6,3297.1,3308.34,327.27,6A,3020,3670,3300,3310,290,360,330
176,3029.55,3695.22,3320.59,3331.83,332.835,6A,3030,3700,3320,3330,300,370,340
177,3039.64,3733.06,3345.36,3355.31,346.71,6A,3040,3730,3350,3360,320,370,350
178,3051.93,3778.37,3366.09,3378.79,363.22,6A,3050,3780,3370,3380,330,400,370
179,3059.01,3822.69,3387.24,3402.27,381.84,6A,3060,3820,3390,3400,340,420,380
180,3069.64,3872.12,3407.88,3425.76,401.24,6A,3070,3870,3410,3430,360,440,400
181,3096.11,3887.68,3431.65,3449.13,395.785,6A,3100,3890,3430,3450,350,440,400
182,3116.19,3904.57,3456.8,3472.51,394.19,6A,3120,3900,3460,3470,350,430,390
183,3133.81,3922.62,3482.97,3495.88,394.405,6A,3130,3920,3480,3500,370,420,400
184,3149.49,3937.07,3507.07,3519.26,393.79,6A,3150,3940,3510,3520,370,420,400
185,3162.4,3949.65,3531.4,3542.64,393.625,6A,3160,3950,3530,3540,380,410,400
186,3176.2,3964.3,3556.59,3566.01,394.05,6A,3180,3960,3560,3570,390,390,390
187,3185.86,3990.76,3580.7,3589.39,402.45,6A,3190,3990,3580,3590,400,400,400
188,3196.65,4017.89,3604.78,3612.77,410.62,6A,3200,4020,3600,3610,410,410,410
189,3209.4,4042.42,3628.88,3636.14,416.51,6A,3210,4040,3630,3640,430,400,420
190,3221.49,4074.41,3657.87,3659.52,426.46,6A,3220,4070,3660,3660,440,410,430
191,3270.53,4091.5,3682.85,3685.49,410.485,6A,3270,4090,3680,3690,420,400,410
192,3308.5,4104.49,3709.6,3711.46,397.995,6A,3310,4100,3710,3710,400,390,400
193,3350.39,4125.72,3736.68,3737.44,387.665,6A,3350,4130,3740,3740,390,390,390
194,3381.04,4148.23,3764.42,3763.41,383.595,6A,3380,4150,3760,3760,380,390,390
195,3403.79,4171.55,3792.63,3789.38,383.88,6A,3400,4170,3790,3790,390,380,390
196,3425.49,4191.64,3818.75,3815.35,383.075,6A,3430,4190,3820,3820,390,370,380
197,3447.27,4221.41,3844.18,3841.33,387.07,6A,3450,4220,3840,3840,390,380,390
198,3465.61,4251.97,3872.57,3867.3,393.18,6A,3470,4250,3870,3870,400,380,390
199,3482.28,4281.17,3896.57,3893.27,399.445,6A,3480,4280,3900,3890,410,390,400
200,3498.09,4319.65,3920.46,3919.24,410.78,6A,3500,4320,3920,3920,420,400,410
201,3523.74,4323.11,3948.43,3941.61,399.685,6A,3520,4320,3950,3940,420,380,400
202,3549.71,4334.11,3971.18,3963.98,392.2,6A,3550,4330,3970,3960,410,370,390
203,3575.64,4345.32,3993.43,3986.34,384.84,6A,3580,4350,3990,3990,410,360,390
204,3598.73,4359.83,4017.82,4008.71,380.55,6A,3600,4360,4020,4010,410,350,380
205,3620.24,4372.39,4042.2,4031.08,376.075,6A,3620,4370,4040,4030,410,340,380
206,3640.3,4388.04,4067.24,4053.45,373.87,6A,3640,4390,4070,4050,410,340,380
207,3658,4408.06,4090.61,4075.81,375.03,6A,3660,4410,4090,4080,420,330,380
208,3676.31,4424.17,4115.74,4098.18,373.93,6A,3680,4420,4120,4100,420,320,370
209,3696.02,4443.7,4141.15,4120.55,373.84,6A,3700,4440,4140,4120,420,320,370
210,3708.62,4472.08,4166.89,4142.91,381.73,6A,3710,4470,4170,4140,430,330,380
211,3775,4478.3,4192.1,4169.16,351.65,6A,3780,4480,4190,4170,390,310,350
212,3820.84,4482.51,4215.94,4195.41,330.835,6A,3820,4480,4220,4200,380,280,330
213,3877.44,4486.8,4240.41,4221.66,304.68,6A,3880,4490,4240,4220,340,270,310
214,3931.3,4495.26,4265.41,4247.9,281.98,6A,3930,4500,4270,4250,320,250,290
215,3974.56,4504.5,4289.61,4274.15,264.97,6A,3970,4500,4290,4270,300,230,270
216,4014.91,4513.76,4314.39,4300.4,249.425,6A,4010,4510,4310,4300,290,210,250
217,4052.36,4524.65,4338.69,4326.64,236.145,6A,4050,4520,4340,4330,280,190,240
218,4075.4,4538.52,4365.51,4352.89,231.56,6A,4080,4540,4370,4350,270,190,230
219,4097.48,4551.62,4392.17,4379.14,227.07,6A,4100,4550,4390,4380,280,170,230
220,4111.99,4580.62,4419.36,4405.38,234.315,6A,4110,4580,4420,4410,300,170,240
221,4153.38,4585.78,4429.01,4419.74,216.2,6A,4150,4590,4430,4420,270,170,220
222,4183.36,4590.84,4438.43,4434.09,203.74,6A,4180,4590,4440,4430,250,160,210
223,4215.2,4597.08,4448.79,4448.45,190.94,6A,4220,4600,4450,4450,230,150,190
224,4244.4,4604.41,4460.44,4462.81,180.005,6A,4240,4600,4460,4460,220,140,180
225,4264.32,4611.26,4472.15,4477.16,173.47,6A,4260,4610,4470,4480,220,130,180
226,4282.94,4619.92,4485.68,4491.52,168.49,6A,4280,4620,4490,4490,210,130,170
